Key	S_bandwidth	S_DOS	S_total
mp-brdma	0.847580197526219	0.556780547332557	0.956082907668739
mp-brdmx	0.906347082216546	0.7637681191033341	0.9943996357236364
mp-brdnq	0.798952491528759	0.661488649710914	0.9735459725086456
mp-brdqs	0.949931252444531	0.616867649438354	0.9845679466767332
mp-brdra	0.939907271720499	0.5571158075408891	0.9726014292189222
mp-brdrc	0.953080105110644	0.6483821187176021	0.9885673739263888
mp-brduy	0.707187790496642	0.7042957403736341	0.9650607142204704
mp-brdym	0.854293095112543	0.702821938056513	0.9864232026412576
mp-brecf	0.841126804554698	0.679480442799938	0.9822191184580552
mp-breev	0.9069563825953092	0.525325497056224	0.9579960729193708
mp-brege	0.83843798484133	0.790232404053365	0.9924859770458188
mp-brehi	0.762587314980648	0.7432673816586841	0.9813797017694804
mp-breld	0.970970150354395	0.5445278564850721	0.9739039767905828
mp-brelk	0.9170392168065852	0.658915508786849	0.9869552546523028
mp-brent	0.932488153796634	0.7985954618268281	0.9967266527801962
mp-breod	0.925771988335362	0.5165872364311961	0.9587205686941545
mp-breqt	0.765255592153367	0.7237094470059401	0.9790058808995982
mp-bresn	0.8882432563435391	0.887205740436648	0.9979639992190492
mp-bretf	0.9001564892428411	0.735604790266662	0.992476361628674
mp-bretx	0.6980933013265711	0.759332783527328	0.973893835773319
mp-breuk	0.915297949597906	0.6868930078931991	0.9896425247501596
mp-brewz	0.926866305970276	0.8923247463311481	0.998734460091508
mp-breyl	0.8388232187350511	0.723491452265362	0.9872138046424188
mp-brfba	0.8175001047143801	0.7764068743395801	0.9901715334311388
mp-brfbv	0.876092468532055	0.687810279831741	0.9867126693946529
mp-brfcs	0.896676670145617	0.55824169141444	0.9661316210071466
mp-brfct	0.937140516531316	0.6167572882202721	0.9833606610920502
mp-brfna	0.945265308993357	0.6676102596983451	0.9898957585329246
mp-brfpw	0.6864938912879031	0.755444967188559	0.9710128302037848
mp-brfvj	0.9020322219805672	0.5671482226391901	0.969350450750796
mp-brfvu	0.991627453781977	0.6264522778010371	0.988951159951154
mp-brfyy	0.752263811907509	0.778148633088223	0.9843351962797776
