Key	S_bandwidth	S_DOS	S_total
mp-bqdj	-1.0	0.604101926074838	0.0
mp-cqqrb	0.7801749564140721	0.8348571938814051	0.9916231509111256
mp-ckiub	-1.0	0.635907231639367	0.0
mp-crvxu	-1.0	0.6540790902975331	0.0
mp-bcthe	-1.0	0.81188012270091	0.0
mp-bfnc	-1.0	0.5455808875728461	0.0
mp-rso	-1.0	0.6626711924900831	0.0
mp-bfub	-1.0	0.685705981272526	0.0
mp-gqw	-1.0	0.862613721120396	0.0
mp-cdlls	-1.0	0.7268564454350781	0.0
mp-cgitk	-1.0	0.68998966878593	0.0
mp-crkqx	-1.0	0.7127509993179041	0.0
mp-dczsy	-1.0	0.6352812817652661	0.0
mp-cggrw	-1.0	0.481483744847103	0.0
mp-cewac	-1.0	0.848167270965224	0.0
mp-bgkoi	-1.0	0.7913774757395171	0.0
mp-bgjhf	-1.0	0.888203553666101	0.0
mp-unm	-1.0	0.575391865622592	0.0
mp-cfjwr	0.280971309109876	0.828881965404439	0.6995567774667711
mp-saj	0.335566676630708	0.7258325187629641	0.7182595486162944
mp-lma	-1.0	0.814167261838546	0.0
mp-bpdd	-1.0	0.8448795242508981	0.0
mp-bila	-1.0	0.693810258895261	0.0
mp-bpeb	-1.0	0.593445709094358	0.0
mp-cjkni	-1.0	0.624715003297995	0.0
mp-buy	-1.0	0.44701019965282	0.0
mp-cdlnk	-1.0	0.549743535548866	0.0
mp-bfkan	-1.0	0.7746984039008271	0.0
mp-bsqb	-1.0	0.7382083147674131	0.0
mp-crfwv	-1.0	0.8349827374505231	0.0
mp-ewm	0.910574604566851	0.895360180527442	0.99852972712914
mp-bxjvj	-1.0	0.406560626498047	0.0
mp-tvg	-1.0	0.904721749168684	0.0
mp-cispl	-1.0	0.7396819762352551	0.0
mp-tci	-1.0	0.642606641957645	0.0
mp-cigah	-1.0	0.524630048516715	0.0
mp-bmlrs	-1.0	0.7990231143356811	0.0
mp-cfzoh	-1.0	0.427119086759032	0.0
mp-bnqzo	-1.0	0.5930464996861311	0.0
mp-ytq	-1.0	0.7339383861412001	0.0
mp-crhtr	-1.0	0.767544908283141	0.0
mp-bmhya	-1.0	0.784951050217343	0.0
mp-cgjoa	-1.0	0.404133352549719	0.0
mp-btmb	-1.0	0.6006253133044861	0.0
mp-crrvn	-1.0	0.704544509358051	0.0
mp-pxc	-1.0	0.962312965810074	0.0
mp-bfin	-1.0	0.822657424433559	0.0
mp-cpkhv	-1.0	0.626826341550602	0.0
mp-bgmbi	-1.0	0.8706784789381841	0.0
mp-gm	-1.0	0.5628579661884261	0.0
mp-oxc	-1.0	0.6594264193407521	0.0
mp-cdswk	-1.0	0.7417366544490821	0.0
mp-creyc	-1.0	0.6600012866312921	0.0
mp-cpdax	-1.0	0.594714567654531	0.0
mp-bdum	-1.0	0.780946863690948	0.0
mp-ckvjw	0.6013936476782551	0.637163072182339	0.9041137337479836
mp-nxo	0.8818980143173201	0.968814565524024	0.9991343341805876
mp-ddrup	-1.0	0.672154608109224	0.0
mp-edc	-1.0	0.875150864597608	0.0
mp-tqd	0.732111905568906	0.952145869111814	0.9946805613799452
mp-ckgnu	0.314964468403901	0.7113274447925461	0.6787471959333627
mp-becw	-1.0	0.7172297118498331	0.0
mp-cdohr	-1.0	0.6188977938447421	0.0
mp-ckiai	-1.0	0.815395537602362	0.0
mp-bmywu	-1.0	0.886284383264453	0.0
mp-crraf	-1.0	0.8430787375722381	0.0
mp-ect	-1.0	0.69242659440457	0.0
mp-brne	-1.0	0.6199489091547471	0.0
mp-bcuga	-1.0	0.604533250709534	0.0
mp-brdr	-1.0	0.494550210268312	0.0
mp-bghyu	-1.0	0.510046627150561	0.0
mp-bxhcq	-1.0	0.447607971921643	0.0
mp-bkpvj	-1.0	0.6770689705052081	0.0
mp-bqeb	0.008182788020771	0.7608718993015671	0.1828702112037992
mp-chhtg	-1.0	0.673963512490787	0.0
mp-crtth	-1.0	0.6911536285234181	0.0
mp-cpnmt	-1.0	0.743408397372691	0.0
mp-lfq	-1.0	0.0	0.0
mp-dpn	-1.0	0.651013581999008	0.0
mp-lj	-1.0	0.647085483947847	0.0
mp-ckiij	0.025782821175753	0.719447163626289	0.2030990837301129
mp-hgf	-1.0	0.676295425853051	0.0
mp-crmyf	-1.0	0.7636277828394661	0.0
mp-bxdqc	-1.0	0.5617120072722851	0.0
mp-bqxqq	-1.0	0.391346387496973	0.0
mp-dfv	-1.0	0.8343939920219821	0.0
mp-cqplp	-1.0	0.562852667108089	0.0
mp-brfwb	0.277682410407536	0.6504781668705331	0.5792624406699365
mp-bdrs	-1.0	0.681639509427825	0.0
mp-bqzex	-1.0	0.7828722515096941	0.0
mp-vov	0.087936905688992	0.60153205119755	0.2640196980447786
mp-ckidj	-1.0	0.716724488145818	0.0
mp-cdsvx	-1.0	0.7102286113360761	0.0
mp-bij	-1.0	0.6842161360958231	0.0
mp-bgqpu	0.6314314116494061	0.815264133814648	0.970057098104798
mp-ocd	-1.0	0.6795837331916871	0.0
mp-brgvz	0.75181160081788	0.7424710551046451	0.979834469111223
mp-cpifg	-1.0	0.8441607068125221	0.0
mp-bgik	-1.0	0.8801458148337731	0.0
mp-bjznf	-1.0	0.8059278120109531	0.0
mp-bexht	0.7866452317038141	0.9712182466708852	0.9973474670472148
mp-xdz	-1.0	0.6189205175727891	0.0
mp-bqzgq	-1.0	0.8098596186898931	0.0
mp-luc	-1.0	0.8743042477375471	0.0
mp-crkie	-1.0	0.789685743535098	0.0
mp-cdnmn	-1.0	0.790450678389614	0.0
mp-bxdrq	-1.0	0.543740614098837	0.0
mp-crvdm	-1.0	0.751541478376687	0.0
mp-clhvz	0.9621398855088532	0.494409257199729	0.9578854825041798
mp-ckucz	0.234300710240958	0.6133117359037991	0.4865121015919901
mp-mds	-1.0	0.572117470274024	0.0
mp-xpq	-1.0	0.48625663566921	0.0
mp-bxcre	0.182904555618905	0.7150265102211381	0.4594357251548248
