material_id,formula_pretty,spacegroup_number,wyckoff_positions
mp-hampf,Sc22CoOs2Ru5,139,"Sc:8n,Sc:4h,Sc:2e,Sc:8n,Co:1b,Os:2c,Ru:4f,Ru:1a"
mp-hampg,Hf6Nb3Al13Ir7,160,"Hf:3b,Hf:3b,Nb:3b,Al:1a,Al:3b,Al:1a,Al:3b,Al:1a,Al:3b,Al:1a,Ir:1a,Ir:3b,Ir:3b"
mp-hamph,CsScBeSe3,63,"Cs:2c,Sc:2b,Be:2c,Se:4f,Se:2c"
mp-hampi,ZnGaRhO4,74,"Zn:2e,Ga:2c,Rh:2a,O:4i,O:4h"
mp-hampj,Zr5Ge2SbH,140,"Zr:2c,Zr:8l,Ge:4h,Sb:2a,H:2b"
mp-hampk,SrSi2Ir2Pt,74,"Sr:2e,Si:4h,Ir:4f,Pt:2c"
mp-hampl,Zn3In8HgIr4,10,"Zn:1c,Zn:1d,Zn:1f,In:4o,In:4o,Hg:1e,Ir:2m,Ir:2n"
mp-hampm,KSc3(CuTe3)2,12,"K:1a,Sc:2i,Sc:1c,Cu:2i,Te:2i,Te:2i,Te:2i"
mp-hampn,BaSc2(FeH6)2,164,"Ba:1a,Sc:2d,Fe:2d,H:6i,H:6i"
mp-hampo,Ta6CrSi6Tc5,5,"Ta:2c,Ta:2c,Ta:2c,Cr:1a,Si:2c,Si:2c,Si:2c,Tc:2c,Tc:2c,Tc:1b"
mp-hampp,Ta10SiB4P,97,"Ta:2e,Ta:8k,Si:1b,B:4j,P:1a"
mp-hampq,Zr10AlSn5Se,8,"Zr:2b,Zr:2b,Zr:1a,Zr:2b,Zr:1a,Zr:2b,Al:1a,Sn:2b,Sn:1a,Sn:2b,Se:1a"
mp-hampr,NaSr(BIr)4,22,"Na:1b,Sr:1d,B:2f,B:2i,Ir:2g,Ir:2h"
mp-hamps,Sr3(ZnRh)4,217,"Sr:3b,Zn:4c,Rh:4c"
